t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,u0,u1,u2,u3,primal_residual,dual_residual
0,0,0,0,0,0,0,0,0,0,0,0,0,0.619411,0.619411,0.619411,0.619411,0,0
0.001,1.94357e-12,5.61081e-17,-2.85497e-07,-3.63807e-11,1.26223e-06,1.73301e-07,7.77103e-09,2.24912e-13,-0.000570763,-1.45726e-07,0.0050489,0.000693199,0.619411,0.619411,0.619411,0.619411,0,0
0.002,3.10743e-11,1.46919e-15,-1.14101e-06,-5.12512e-10,5.04656e-06,6.92876e-07,6.21288e-08,4.07663e-12,-0.00114004,-1.7594e-06,0.0100884,0.0013851,0.619455,0.619386,0.619434,0.619399,0,0
0.003,1.57213e-10,1.45506e-14,-2.56498e-06,-2.36946e-09,1.13458e-05,1.55776e-06,2.09507e-07,2.78419e-11,-0.00170766,-5.66937e-06,0.0151086,0.00207444,0.619546,0.61934,0.619485,0.619382,0,0
0.004,4.96501e-10,7.56925e-14,-4.55564e-06,-6.80184e-09,2.01479e-05,2.76636e-06,4.96098e-07,1.08188e-10,-0.00227343,-1.20615e-05,0.0200997,0.00275996,0.619688,0.619273,0.619565,0.619363,0,0
0.005,1.21111e-09,2.69256e-13,-7.11103e-06,-1.50146e-08,3.14357e-05,4.31646e-06,9.67766e-07,3.04426e-10,-0.00283713,-2.07912e-05,0.0250515,0.00344043,0.619879,0.619188,0.619677,0.619342,0,0
0.006,2.50889e-09,7.4988e-13,-1.0229e-05,-2.80867e-08,4.51872e-05,6.20524e-06,1.66996e-06,6.97427e-10,-0.00339853,-3.14994e-05,0.0299545,0.00411469,0.620119,0.619085,0.619819,0.619323,0,0
0.007,4.64289e-09,1.76263e-12,-1.39071e-05,-4.68912e-08,6.13757e-05,8.42932e-06,2.64765e-06,1.38654e-09,-0.00395742,-4.37212e-05,0.0347992,0.00478163,0.620407,0.618968,0.619991,0.619307,0,0
0.008,7.91085e-09,3.65944e-12,-1.81427e-05,-7.20464e-08,7.99696e-05,1.09848e-05,3.94521e-06,2.48541e-09,-0.00451355,-5.69029e-05,0.0395766,0.00544022,0.620741,0.618838,0.620193,0.619294,0,0
0.009,1.26546e-08,6.911e-12,-2.29329e-05,-1.03883e-07,0.000100933,1.38672e-05,5.60638e-06,4.11699e-09,-0.00506668,-7.0449e-05,0.0442782,0.00608947,0.621119,0.618696,0.620423,0.619286,0,0
0.01,1.92592e-08,1.21134e-11,-2.82746e-05,-1.42434e-07,0.000124227,1.70717e-05,7.6742e-06,6.40824e-09,-0.0056166,-8.37583e-05,0.0488959,0.00672849,0.62154,0.618543,0.620682,0.619284,0,0
0.011,2.81527e-08,1.99894e-11,-3.41646e-05,-1.87431e-07,0.000149806,2.05929e-05,1.01909e-05,9.48458e-09,-0.00616307,-9.62355e-05,0.0534219,0.00735641,0.622001,0.618383,0.620967,0.619288,0,0
0.012,3.98045e-08,3.13841e-11,-4.05992e-05,-2.38309e-07,0.000177624,2.44252e-05,1.31978e-05,1.34645e-08,-0.00670587,-0.000107288,0.0578491,0.00797247,0.622501,0.618215,0.621277,0.619299,0,0
0.013,5.47254e-08,4.72555e-11,-4.75746e-05,-2.94218e-07,0.000207629,2.85623e-05,1.67354e-05,1.84543e-08,-0.00724479,-0.000116356,0.0621707,0.00857594,0.623037,0.618041,0.621612,0.619317,0,0
0.014,7.34657e-08,6.86596e-11,-5.50869e-05,-3.54028e-07,0.000239767,3.29978e-05,2.08433e-05,2.45428e-08,-0.00777961,-0.000122903,0.0663804,0.00916616,0.623608,0.617862,0.62197,0.619343,0,0
0.015,9.66151e-08,9.67302e-11,-6.31319e-05,-4.16359e-07,0.00027398,3.7725e-05,2.55598e-05,3.17965e-08,-0.00831012,-0.00012644,0.0704724,0.00974252,0.62421,0.61768,0.62235,0.619377,0,0
0.016,1.24801e-07,1.32655e-10,-7.17051e-05,-4.79586e-07,0.000310209,4.27367e-05,3.09224e-05,4.02551e-08,-0.00883615,-0.000126499,0.0744414,0.0103045,0.624843,0.617495,0.62275,0.619418,0,0
