horizon,admm_iters,board,slice_luts_used,slice_luts_avail,slice_luts_util_pct,lut_as_mem_used,lut_as_mem_avail,lut_as_mem_util_pct,bram_tile_used,bram_tile_avail,bram_tile_util_pct,dsps_used,dsps_avail,dsps_util_pct,hls_target_clk_ns,hls_est_clk_ns,hls_uncertainty_ns,hls_est_fmax_mhz,synth_wns_ns,synth_tns_ns,synth_clk_period_ns,synth_clk_freq_mhz,synth_fmax_est_mhz,route_wns_ns,route_tns_ns,route_clk_period_ns,route_clk_freq_mhz,route_fmax_est_mhz,route_power_total_w,route_power_dynamic_w,route_power_static_w,hls_latency_cycles,est_solve_us_cfg_clk,est_solve_us_route_fmax,throughput_cfg_sps,throughput_route_fmax_sps,throughput_per_lut_cfg,throughput_per_dsp_cfg,throughput_per_bram_cfg,throughput_per_lutram_cfg,energy_per_solve_cfg_uj,energy_per_solve_route_fmax_uj,energy_per_iter_cfg_nj
10,1,custom,6390,63400,10.08,258,19000,1.36,26,135,19.26,70,240,29.17,10.0,7.288,2.7,137.211855104281,0.28,0.0,10.0,100.0,102.88065843621399,-0.052,-2.504,10.0,100.0,99.48269001193793,0.236,0.137,0.099,3553,35.53,35.714755999999994,28145.229383619477,27999.631300855035,4.404574238438102,402.0747054802782,1082.508822446903,109.09003637061812,8.38508,8.428682415999997,8385.08
10,2,custom,6466,63400,10.2,258,19000,1.36,28.5,135,21.11,74,240,30.83,10.0,7.288,2.7,137.211855104281,0.28,0.0,10.0,100.0,102.88065843621399,-0.133,-11.651,10.0,100.0,98.68745682423764,0.274,0.175,0.099,7118,71.18,72.126694,14048.890137679122,13864.492388906665,2.172732777247003,189.84986672539353,492.9435136027762,54.45306254914388,19.503320000000002,19.762714156,9751.660000000002
10,5,custom,6464,63400,10.2,258,19000,1.36,28.5,135,21.11,74,240,30.83,10.0,7.288,2.7,137.211855104281,0.28,0.0,10.0,100.0,102.88065843621399,0.112,0.0,10.0,100.0,101.13268608414239,0.269,0.17,0.099,17759,177.59,175.600992,5630.947688495974,5694.728649368906,0.8711243329975208,76.09388768237802,197.57711187705172,21.825378637581295,47.771710000000006,47.236666848,9554.342
10,10,custom,6465,63400,10.2,258,19000,1.36,28.5,135,21.11,74,240,30.83,10.0,7.288,2.7,137.211855104281,0.28,0.0,10.0,100.0,102.88065843621399,-0.008,-0.389,10.0,100.0,99.92006394884093,0.267,0.168,0.099,35494,354.94,355.223952,2817.3775849439344,2815.1254845562894,0.43578926294569753,38.07267006680993,98.8553538576819,10.92006815869742,94.76898,94.844795184,9476.898
10,15,custom,6455,63400,10.18,258,19000,1.36,28.5,135,21.11,74,240,30.83,10.0,7.288,2.7,137.211855104281,0.28,0.0,10.0,100.0,102.88065843621399,0.004,0.0,10.0,100.0,100.04001600640255,0.265,0.165,0.099,53229,532.29,532.077084,1878.6751582783822,1879.426929050002,0.291041852560555,25.38750213889706,65.91842660625903,7.2816866599937295,141.05685,141.00042726,9403.79
10,20,custom,6456,63400,10.18,258,19000,1.36,28.5,135,21.11,74,240,30.83,10.0,7.288,2.7,137.211855104281,0.28,0.0,10.0,100.0,102.88065843621399,0.092,0.0,10.0,100.0,100.92854259184497,0.278,0.179,0.099,70964,709.64,703.111312,1409.1652105292824,1422.2499096985086,0.2182721825479062,19.042773115260573,49.444393351904644,5.4618806609662105,197.27992,195.464944736,9863.996000000001
10,25,custom,6448,63400,10.17,258,19000,1.36,28.5,135,21.11,74,240,30.83,10.0,7.288,2.7,137.211855104281,0.28,0.0,10.0,100.0,102.88065843621399,0.188,0.0,10.0,100.0,101.91602119853242,0.283,0.183,0.099,88699,886.99,870.314588,1127.4084262505778,1149.0098106915796,0.1748462199520127,15.235249003386187,39.55819039475712,4.369800101746425,251.01816999999997,246.29902840399996,10040.726799999999
10,30,custom,6455,63400,10.18,258,19000,1.36,28.5,135,21.11,74,240,30.83,10.0,7.288,2.7,137.211855104281,0.28,0.0,10.0,100.0,102.88065843621399,0.402,0.0,10.0,100.0,104.18837257762033,0.285,0.185,0.099,106434,1064.34,1021.5535320000001,939.5493921115434,978.9012212039416,0.14555374006375577,12.696613406912748,32.96664533724714,3.6416643105098583,303.33689999999996,291.14275662,10111.23
20,1,custom,6451,63400,10.18,265,19000,1.39,28.5,135,21.11,70,240,29.17,10.0,7.288,2.7,137.211855104281,-0.004,-0.202,10.0,100.0,99.96001599360257,0.308,0.0,10.0,100.0,103.17787866281469,0.253,0.154,0.099,6753,67.53,65.450076,14808.233377758033,15278.821066609611,2.295494245505818,211.54619111082906,519.5871360616853,55.8801259538039,17.08509,16.558869228,17085.09
20,2,custom,6521,63400,10.29,265,19000,1.39,42,135,31.11,74,240,30.83,10.0,7.288,2.7,137.211855104281,-0.051,-2.458,10.0,100.0,99.49258780220873,0.226,0.0,10.0,100.0,102.31225700838961,0.279,0.179,0.1,13518,135.18,132.124932,7397.544015386891,7568.594245331381,1.1344186498063014,99.96681101874178,176.13200036635456,27.91526043542223,37.71522,36.862856028,18857.61
20,5,custom,6539,63400,10.31,265,19000,1.39,42,135,31.11,74,240,30.83,10.0,7.288,2.7,137.211855104281,-0.051,-2.458,10.0,100.0,99.49258780220873,0.276,0.0,10.0,100.0,102.83833813245577,0.28,0.18,0.1,33759,337.59,328.272516,2962.17305014959,3046.249537381314,0.4530009252407998,40.029365542562026,70.52792976546642,11.178011509998452,94.5252,91.91630448000001,18905.04
