t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,u0,u1,u2,u3
0,0,0,0,0,0,0,0,0,0,0,0,0,0.619411,0.619411,0.619411,0.619411
0.01,1.55865e-09,1.99161e-09,-8.70511e-10,-1.21811e-05,9.53302e-06,3.35531e-09,6.23458e-07,7.96643e-07,-1.7411e-07,-0.00487244,0.00381321,1.34212e-06,0.619502,0.620188,0.619313,0.618637
0.02,2.43803e-08,3.11526e-08,-3.51578e-09,-4.43631e-05,3.47188e-05,1.27135e-08,4.76444e-06,6.08791e-06,-3.5504e-07,-0.00800033,0.00626112,2.40115e-06,0.619468,0.61991,0.619347,0.618914
0.03,1.17086e-07,1.4961e-07,-8.12014e-09,-9.03459e-05,7.07053e-05,2.81272e-08,1.49535e-05,1.91072e-05,-5.66158e-07,-0.0103928,0.00813345,3.76435e-06,0.619453,0.619793,0.619361,0.619032
0.04,3.49714e-07,4.46858e-07,-1.48313e-08,-0.000145698,0.000114024,4.96517e-08,3.29887e-05,4.21523e-05,-7.76756e-07,-0.0117483,0.00919423,4.84544e-06,0.619434,0.619628,0.619381,0.619196
0.05,8.06867e-07,1.031e-06,-2.37825e-08,-0.000207372,0.00016229,7.72978e-08,6.00201e-05,7.66925e-05,-1.01464e-06,-0.012921,0.010112,6.21299e-06,0.61943,0.619599,0.619384,0.619226
0.06,1.58296e-06,2.02268e-06,-3.51283e-08,-0.000273179,0.000213791,1.11069e-07,9.68828e-05,0.000123795,-1.25619e-06,-0.013402,0.0104885,7.29532e-06,0.619417,0.619488,0.619398,0.619335
0.07,2.77885e-06,3.55077e-06,-4.90219e-08,-0.000341644,0.000267372,1.50939e-07,0.000144048,0.000184062,-1.52474e-06,-0.0139839,0.0109439,8.65297e-06,0.619418,0.619505,0.619395,0.61932
0.08,4.49953e-06,5.74942e-06,-6.56418e-08,-0.00041168,0.000322182,1.96888e-07,0.00020188,0.000257959,-1.80203e-06,-0.0140304,0.0109802,9.72666e-06,0.619408,0.619419,0.619406,0.619404
0.09,6.85243e-06,8.75592e-06,-8.51627e-08,-0.000482577,0.000377667,2.48875e-07,0.000270516,0.000345661,-2.1055e-06,-0.0143287,0.0112137,1.10681e-05,0.619413,0.61946,0.619401,0.619365
0.1,9.94636e-06,1.27093e-05,-1.07775e-07,-0.000553789,0.000433398,3.06873e-07,0.000350092,0.000447342,-2.42086e-06,-0.0141559,0.0110785,1.21311e-05,0.619404,0.619384,0.619411,0.619439
0.11,1.38906e-05,1.77492e-05,-1.33674e-07,-0.000624984,0.000489115,3.70818e-07,0.000440579,0.000562966,-2.76326e-06,-0.0143219,0.0112084,1.34468e-05,0.61941,0.619439,0.619404,0.619386
0.12,1.87945e-05,2.40153e-05,-1.63104e-07,-0.00069588,0.000544599,4.40648e-07,0.000542005,0.000692565,-3.12779e-06,-0.0140368,0.0109852,1.44851e-05,0.619402,0.619366,0.619413,0.619457
0.13,2.47667e-05,3.16466e-05,-1.96293e-07,-0.000766337,0.000599739,5.16307e-07,0.000654257,0.000836,-3.51543e-06,-0.0141459,0.0110706,1.57783e-05,0.619409,0.61943,0.619405,0.619395
0.14,3.19156e-05,4.07813e-05,-2.33478e-07,-0.000836207,0.000654419,5.97746e-07,0.000777311,0.000993237,-3.92742e-06,-0.0138019,0.0108015,1.67974e-05,0.619401,0.619357,0.619414,0.619467
0.15,4.03484e-05,5.15566e-05,-2.7491e-07,-0.000905441,0.000708603,6.8487e-07,0.000911017,0.00116408,-4.3654e-06,-0.0138919,0.0108719,1.80524e-05,0.619409,0.619427,0.619405,0.619398
0.16,5.01714e-05,6.41082e-05,-3.20843e-07,-0.000973962,0.000762228,7.77618e-07,0.00105533,0.00134848,-4.82796e-06,-0.0135164,0.010578,1.90467e-05,0.619401,0.619352,0.619415,0.619472
0.17,6.14898e-05,7.85707e-05,-3.71518e-07,-0.00104177,0.000815295,8.75923e-07,0.00121008,0.00154622,-5.31426e-06,-0.0136068,0.0106487,2.02754e-05,0.619409,0.619427,0.619406,0.619398
0.18,7.44076e-05,9.50769e-05,-4.27192e-07,-0.00110882,0.00086777,9.79732e-07,0.00137521,0.00175722,-5.82819e-06,-0.0132138,0.0103412,2.1248e-05,0.619401,0.61935,0.619416,0.619475
0.19,8.90279e-05,0.000113759,-4.88101e-07,-0.00117514,0.000919673,1.08897e-06,0.00155055,0.00198127,-6.36165e-06,-0.0133145,0.01042,2.24476e-05,0.61941,0.619429,0.619406,0.619397
0.2,0.000105453,0.000134746,-5.54488e-07,-0.00124071,0.000970985,1.20359e-06,0.00173605,0.0022183,-6.92407e-06,-0.0129114,0.0101046,2.3399e-05,0.619401,0.619348,0.619416,0.619476
0.21,0.000123782,0.000158167,-6.26585e-07,-0.00130555,0.00102174,1.32351e-06,0.00193153,0.00246808,-7.50403e-06,-0.0130274,0.0101954,2.4571e-05,0.61941,0.619431,0.619406,0.619395
